Time_s,Altitude_m,Speed_mps,Battery_SOC,Voltage_V,Current_A,Power_W,Temperature_C,MotorRPM,WindSpeed_mps,Signal,Latitude,Longitude,Roll,Pitch,Yaw,Distance_km
0,0,12,100,16.8,5,84,30,4800,5,98,22.5726,88.364,0,8,0,0
1,1.875,12.059991000405,99.9133333333333,16.796,5.0479488163815,84.7853483199437,30.02,4817.49270924474,5.02999887501266,97.97,22.57261,88.364012,0.299968750976548,7.99840005333262,0.7,0.012059991000405
2,3.75,12.1199280129589,99.8266666666667,16.792,5.09559092396855,85.5651627952799,30.04,4834.94169582639,5.05999100040499,97.94,22.57262,88.364024,0.59975003124814,7.99360085328782,1.4,0.0241799190133639
3,5.625,12.179757098396,99.74,16.788,5.14262157585628,86.3343310154752,30.06,4852.30334636576,5.08996962807532,97.91,22.57263,88.364036,0.899156487272908,7.98560431948163,2.1,0.0363596761117599
4,7.5,12.2394244145778,99.6533333333333,16.784,5.18873993636967,87.0878110920286,30.08,4869.53426577827,5.11992801295889,97.88,22.57264,88.364048,1.19800099976194,7.97441365042096,2.8,0.0485991005263377
5,9.375,12.2988762649472,99.5666666666667,16.78,5.23365100538519,87.8206638703635,30.1,4886.59138573908,5.14985941454548,97.85,22.57265,88.36406,1.49609680062273,7.96003332222421,3.5,0.0608979767912849
6,11.25,12.3580591468516,99.48,16.776,5.27706750532489,88.5280844693304,30.12,4903.43207233147,5.17975709839602,97.82,22.57266,88.364072,1.79325758968319,7.94246908683093,4.2,0.0732560359381366
7,13.125,12.4169197996922,99.3933333333333,16.772,5.31871171875253,89.2054329469174,30.14,4920.01423260941,5.20961433765777,97.79,22.57267,88.364084,2.08929765112315,7.9217279697011,4.9,0.0856729557378288
8,15,12.4754052528543,99.3066666666667,16.768,5.35831726481744,89.8482638964588,30.16,4936.29641980803,5.23942441457784,97.76,22.57268,88.364096,2.38403196954073,7.89781826700502,5.6,0.0981483609906831
9,16.875,12.5334628733777,99.22,16.764,5.39563080318288,90.4523547845579,30.18,4952.23793693893,5.2691806220147,97.73,22.57269,88.364108,2.67727634558095,7.87074954230497,6.3,0.110681823864061
10,18.75,12.5910404133227,99.1333333333333,16.76,5.43041365453971,91.0137328500856,30.2,4967.79893851147,5.2988762649472,97.7,22.5727,88.36412,2.96884751105428,7.84053262272993,7,0.123272864277383
11,20.625,12.6480860567897,99.0466666666667,16.756,5.46244332733938,91.5287003928987,30.22,4982.94053012573,5.32850466198096,97.67,22.57271,88.364132,3.25856324347335,7.80717959464484,7.7,0.135920950334173
12,22.5,12.7045484665502,98.96,16.752,5.4915149409806,91.993858291307,30.24,4997.62486568826,5.35805914685165,97.64,22.57272,88.364144,3.54624247993608,7.77070379881624,8.4,0.148625498800723
13,24.375,12.7603768302463,98.8733333333333,16.748,5.517442536346,92.4061275987229,30.26,5011.81524200761,5.38753306992484,97.61,22.57273,88.364156,3.83170543028401,7.73111982507611,9.1,0.16138587563097
14,26.25,12.8155209061191,98.7866666666667,16.744,5.5400602653059,92.762769082282,30.28,5025.47619053319,5.4169197996922,97.58,22.57274,88.364168,4.11477368946542,7.68844350648617,9.8,0.174201396537089
15,28.125,12.8699310682225,98.7,16.74,5.55922345158034,93.0614005794548,30.3,5038.57356600817,5.44621272426349,97.55,22.57275,88.36418,4.39527034903257,7.64269191300485,10.5,0.187071327605311
16,30,12.923558351083,98.6133333333333,16.736,5.57480951617354,93.3000120626803,30.32,5051.07463181483,5.47540525285427,97.52,22.57276,88.364192,4.67302010770381,7.59388334465953,11.2,0.199994885956394
17,31.875,12.9763544937658,98.5266666666667,16.732,5.58671876146119,93.4769783167686,30.34,5062.9481417991,5.50449081726876,97.49,22.57277,88.364204,4.9478493809211,7.54203732422677,11.9,0.21297124045016
18,33.75,13.0282719833062,98.44,16.728,5.59487500891501,93.5910691491303,30.36,5074.16441836962,5.53346287337766,97.46,22.57278,88.364216,5.21958640933476,7.48717458942348,12.6,0.225999512433466
19,35.625,13.0792640974679,98.3533333333333,16.724,5.59922608638535,93.6414570687086,30.38,5084.69542667628,5.56231490259059,97.43,22.57279,88.364228,5.48806136614747,7.42931708461208,13.3,0.239078776530934
20,37.5,13.1292849467901,98.2666666666667,16.72,5.5997441618249,93.6277223857124,30.4,5094.51484468276,5.59104041332268,97.4,22.5728,88.36424,5.75310646325044,7.36848795202308,14,0.252208061477724
21,39.375,13.1782895158845,98.18,16.716,5.59642592131885,93.5498557007658,30.42,5103.59812895791,5.61963294245521,97.37,22.57281,88.364252,6.01455605608558,7.30471152249847,14.7,0.265386350993609
22,41.25,13.2262337039469,98.0933333333333,16.712,5.58929259028257,93.4082577688023,30.44,5111.9225760215,5.64808605678974,97.34,22.57282,88.364264,6.27224674716791,7.23801330575971,15.4,0.278612584697556
23,43.125,13.2730743644439,98.0066666666667,16.708,5.57838979769147,93.2037367398291,30.46,5119.46737909118,5.67639335449558,97.31,22.57283,88.364276,6.52601748820371,7.1684199802042,16.1,0.291885659062
24,45,13.3187693439429,97.92,16.704,5.56378728421119,92.9375027954638,30.48,5126.21368008853,5.70454846655018,97.28,22.57284,88.364288,6.77570968074043,7.09595938223427,16.8,0.305204428405942
25,46.875,13.3632775200467,97.8333333333333,16.7,5.54557845609541,92.6111602167933,30.5,5132.14461677446,5.73254505817209,97.25,22.57285,88.3643,7.02116727528555,7.02066049512298,17.5,0.318567705925989
26,48.75,13.4065588384008,97.7466666666667,16.696,5.52387978770451,92.2266969355145,30.52,5137.24536489602,5.76037683024632,97.22,22.57286,88.364312,7.26223686883247,6.9425534374212,18.2,0.33197426476439
27,50.625,13.4485743487403,97.66,16.692,5.49883007646721,91.7864716363907,30.54,5141.50317523933,5.78803752074156,97.19,22.57287,88.364324,7.4987678007324,6.86166945091059,18.9,0.34542283911313
28,52.5,13.4892862399417,97.5733333333333,16.688,5.47058955505065,91.2931984946853,30.56,5144.90740549596,5.81552090611914,97.16,22.57288,88.364336,7.73061224685229,6.77804088810733,19.6,0.358912125353072
